;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
511;20220310;3854;530010.0;53;5
512;20220311;5093;530010.0;53;5
513;20220312;817;530010.0;53;5
514;20220313;308;530010.0;53;5
515;20220314;3779;530010.0;53;5
516;20220315;3973;530010.0;53;5
517;20220316;4210;530010.0;53;5
518;20220317;4170;530010.0;53;5
519;20220318;5043;530010.0;53;5
520;20220319;1316;530010.0;53;5
521;20220320;411;530010.0;53;5
522;20220321;3663;530010.0;53;5
523;20220322;3319;530010.0;53;5
524;20220323;3306;530010.0;53;5
525;20220324;4161;530010.0;53;5
526;20220325;3746;530010.0;53;5
527;20220326;1148;530010.0;53;5
528;20220327;335;530010.0;53;5
529;20220328;2919;530010.0;53;5
530;20220329;3107;530010.0;53;5
531;20220330;2409;530010.0;53;5
532;20220331;2617;530010.0;53;5
533;20220401;3918;530010.0;53;5
534;20220402;593;530010.0;53;5
535;20220403;389;530010.0;53;5
536;20220404;3029;530010.0;53;5
537;20220405;2906;530010.0;53;5
538;20220406;2424;530010.0;53;5
539;20220407;2406;530010.0;53;5
540;20220408;2498;530010.0;53;5
541;20220409;467;530010.0;53;5
542;20220410;219;530010.0;53;5
543;20220411;1966;530010.0;53;5
544;20220412;1932;530010.0;53;5
545;20220413;2070;530010.0;53;5
546;20220414;3757;530010.0;53;5
547;20220415;1;530010.0;53;5
548;20220416;418;530010.0;53;5
549;20220417;1;530010.0;53;5
550;20220418;3450;530010.0;53;5
551;20220419;3414;530010.0;53;5
552;20220420;3056;530010.0;53;5
553;20220421;3;530010.0;53;5
554;20220422;3;530010.0;53;5
555;20220423;689;530010.0;53;5
556;20220424;1;530010.0;53;5
557;20220425;2493;530010.0;53;5
558;20220426;2516;530010.0;53;5
559;20220427;2448;530010.0;53;5
560;20220428;2045;530010.0;53;5
561;20220429;2232;530010.0;53;5
562;20220430;749;530010.0;53;5
563;20220502;1843;530010.0;53;5
564;20220503;1837;530010.0;53;5
565;20220504;1656;530010.0;53;5
566;20220505;1681;530010.0;53;5
567;20220506;4415;530010.0;53;5
568;20220507;455;530010.0;53;5
569;20220508;4;530010.0;53;5
570;20220509;4168;530010.0;53;5
571;20220510;4354;530010.0;53;5
572;20220511;3587;530010.0;53;5
573;20220512;3782;530010.0;53;5
574;20220513;3511;530010.0;53;5
575;20220514;495;530010.0;53;5
576;20220515;3;530010.0;53;5
577;20220516;2657;530010.0;53;5
578;20220517;2598;530010.0;53;5
579;20220518;1666;530010.0;53;5
580;20220519;1714;530010.0;53;5
581;20220520;2515;530010.0;53;5
582;20220521;315;530010.0;53;5
583;20220522;3;530010.0;53;5
584;20220523;2147;530010.0;53;5
585;20220524;2402;530010.0;53;5
586;20220525;1994;530010.0;53;5
587;20220526;2091;530010.0;53;5
588;20220527;2017;530010.0;53;5
589;20220528;365;530010.0;53;5
590;20220530;2692;530010.0;53;5
591;20220531;3283;530010.0;53;5
592;20220601;3765;530010.0;53;5
593;20220602;3576;530010.0;53;5
594;20220603;7914;530010.0;53;5
595;20220604;1013;530010.0;53;5
596;20220605;25;530010.0;53;5
597;20220606;6456;530010.0;53;5
598;20220607;5795;530010.0;53;5
599;20220608;5700;530010.0;53;5
600;20220609;5640;530010.0;53;5
601;20220610;5735;530010.0;53;5
602;20220611;741;530010.0;53;5
603;20220612;2;530010.0;53;5
604;20220613;5189;530010.0;53;5
605;20220614;5669;530010.0;53;5
606;20220615;5770;530010.0;53;5
607;20220616;1378;530010.0;53;5
608;20220617;8934;530010.0;53;5
609;20220618;1772;530010.0;53;5
610;20220619;2;530010.0;53;5
611;20220620;7274;530010.0;53;5
612;20220621;7698;530010.0;53;5
613;20220622;7062;530010.0;53;5
614;20220623;6537;530010.0;53;5
615;20220624;6411;530010.0;53;5
616;20220625;1259;530010.0;53;5
617;20220626;6;530010.0;53;5
618;20220627;5407;530010.0;53;5
619;20220628;5691;530010.0;53;5
620;20220629;4309;530010.0;53;5
621;20220630;4175;530010.0;53;5
622;20220701;5473;530010.0;53;5
623;20220702;761;530010.0;53;5
624;20220703;1;530010.0;53;5
625;20220704;5476;530010.0;53;5
626;20220705;4328;530010.0;53;5
627;20220706;4098;530010.0;53;5
628;20220707;3545;530010.0;53;5
629;20220708;3883;530010.0;53;5
630;20220709;543;530010.0;53;5
631;20220711;3756;530010.0;53;5
632;20220712;4901;530010.0;53;5
633;20220713;3386;530010.0;53;5
634;20220714;3185;530010.0;53;5
635;20220715;3346;530010.0;53;5
636;20220716;571;530010.0;53;5
637;20220717;2;530010.0;53;5
638;20220718;3212;530010.0;53;5
639;20220719;3513;530010.0;53;5
640;20220720;2956;530010.0;53;5
641;20220721;2986;530010.0;53;5
642;20220722;3160;530010.0;53;5
643;20220723;614;530010.0;53;5
644;20220725;2986;530010.0;53;5
645;20220726;3166;530010.0;53;5
646;20220727;2621;530010.0;53;5
647;20220728;2787;530010.0;53;5
648;20220729;2942;530010.0;53;5
649;20220730;658;530010.0;53;5
650;20220801;1950;530010.0;53;5
651;20220802;2045;530010.0;53;5
652;20220803;1677;530010.0;53;5
653;20220804;1698;530010.0;53;5
654;20220805;1755;530010.0;53;5
655;20220806;441;530010.0;53;5
656;20220808;1533;530010.0;53;5
657;20220809;1621;530010.0;53;5
658;20220810;1362;530010.0;53;5
659;20220811;1379;530010.0;53;5
660;20220812;1430;530010.0;53;5
661;20220813;412;530010.0;53;5
662;20220814;2;530010.0;53;5
663;20220815;1444;530010.0;53;5
664;20220816;1501;530010.0;53;5
665;20220817;1223;530010.0;53;5
666;20220818;1199;530010.0;53;5
667;20220819;1435;530010.0;53;5
668;20220820;1548;530010.0;53;5
669;20220821;1;530010.0;53;5
670;20220822;1221;530010.0;53;5
671;20220823;1170;530010.0;53;5
672;20220824;1156;530010.0;53;5
673;20220825;1077;530010.0;53;5
674;20220826;1068;530010.0;53;5
675;20220827;308;530010.0;53;5
676;20220828;1;530010.0;53;5
677;20220829;1001;530010.0;53;5
678;20220830;1007;530010.0;53;5
679;20220831;855;530010.0;53;5
680;20220901;762;530010.0;53;5
681;20220902;828;530010.0;53;5
682;20220903;161;530010.0;53;5
683;20220904;3;530010.0;53;5
684;20220905;742;530010.0;53;5
685;20220906;26;530010.0;53;5
686;20220907;19;530010.0;53;5
687;20220908;675;530010.0;53;5
688;20220909;673;530010.0;53;5
689;20220910;120;530010.0;53;5
690;20220911;1;530010.0;53;5
691;20220912;623;530010.0;53;5
692;20220913;645;530010.0;53;5
693;20220914;585;530010.0;53;5
694;20220915;569;530010.0;53;5
695;20220916;524;530010.0;53;5
696;20220917;130;530010.0;53;5
697;20220919;667;530010.0;53;5
698;20220920;565;530010.0;53;5
699;20220921;380;530010.0;53;5
700;20220922;507;530010.0;53;5
